Research rank,Callable rank,Existing cockpit record,Business,Category,City / service area,State,Phone,Email,Paid channel(s),Paid-signal confidence,Paid evidence,Platform response / demand,Recommended first conversation,Why this angle,Google profile status,Google rating,Google reviews,Google Maps,Google search,Website status,Website,Platform profile(s),Evidence page(s),Observed,Cockpit lead ID,Match method,Possible existing IDs,Status,Notes
155,,Research-only · not ready to call,BRACE YOURSELF GARAGE COMPANY LLC,Garage Doors,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 6 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=BRACE%20YOURSELF%20GARAGE%20COMPANY%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/garage-doors.htm,2026-07-22,platform-brace-yourself-garage-tucson,,,,
156,,Research-only · not ready to call,"Brighton EV, LLC",Electrical,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 hour · 6 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Brighton%20EV%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/electrical.htm,2026-07-22,platform-brighton-ev-phoenix,,,,
157,,Research-only · not ready to call,Buckingham Electrical Services LLC,Electrical,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 3 hrs · rate 100% · 1 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Buckingham%20Electrical%20Services%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/electrical.htm,2026-07-22,platform-buckingham-electrical-services-tucson,,,,
158,,Research-only · not ready to call,"Burchill's Plumbing, LLC",Plumbing,Prescott,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 10 hrs · rate 92% · 25 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Burchill's%20Plumbing%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/prescott/plumbing.htm,2026-07-22,platform-burchill-s-plumbing-prescott,,,,
159,,Research-only · not ready to call,"Burgos Air, LLC",HVAC,Queen Creek,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 4 hrs,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Burgos%20Air%2C%20LLC%20Arizona,Website not yet cross-checked,,https://www.angi.com/companylist/us/az/queen-creek/burgos-air-llc-reviews-1.htm,https://www.angi.com/companylist/us/az/phoenix/hvac.htm,2026-07-22,platform-burgos-air-queen-creek,,,,
160,,Research-only · not ready to call,"CactusNectar, LLC",General Contractor; Kitchen & Bath Remodeling,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 8 recent quote requests | Angi · 7 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=CactusNectar%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/kitchen-and-bath-remodeling.htm | https://www.angi.com/companylist/us/az/tucson/contractor.htm,2026-07-22,platform-cactusnectar-tucson,,,,
161,,Research-only · not ready to call,"Camelback Moving, Inc.",Moving,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 4 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Camelback%20Moving%2C%20Inc.%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/moving.htm,2026-07-22,platform-camelback-moving-phoenix,,,,
162,,Research-only · not ready to call,Canyon Vista Painting LLC,Painting,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 7 hrs · rate 100% · 1 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Canyon%20Vista%20Painting%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/painting.htm,2026-07-22,platform-canyon-vista-painting-tucson,,,,
163,,Research-only · not ready to call,Cares Home Services Corp.,HVAC,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 9 hrs · rate 95%,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Cares%20Home%20Services%20Corp.%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/hvac.htm,2026-07-22,platform-cares-home-services-tucson,,,,
164,,Research-only · not ready to call,CH Painting,Painting,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 8 hrs · 6 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=CH%20Painting%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/painting.htm,2026-07-22,platform-ch-painting-tucson,,,,
165,,Research-only · not ready to call,Chino Heating & Cooling Inc,HVAC,Prescott,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · rate 94% · 4 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Chino%20Heating%20%26%20Cooling%20Inc%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/prescott/hvac.htm,2026-07-22,platform-chino-heating-and-cooling-prescott,,,,
166,,Research-only · not ready to call,Chromatic Coatings,Kitchen & Bath Remodeling,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 2 days · 6 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Chromatic%20Coatings%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/kitchen-and-bath-remodeling.htm,2026-07-22,platform-chromatic-coatings-phoenix,,,,
167,,Research-only · not ready to call,"Chuck Reliable Roofing, LLC",Roofing,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · 5 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Chuck%20Reliable%20Roofing%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/roofing.htm,2026-07-22,platform-chuck-reliable-roofing-tucson,,,,
168,,Research-only · not ready to call,Citi Scapes,Landscaping,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 3 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Citi%20Scapes%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/landscaping.htm,2026-07-22,platform-citi-scapes-phoenix,,,,
169,,Research-only · not ready to call,"City Plumbing & Rooter AZ, LLC",Plumbing,Flagstaff,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 31 recent quote requests | Angi · 18 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=City%20Plumbing%20%26%20Rooter%20AZ%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/flagstaff/plumbing.htm | https://www.angi.com/companylist/us/az/prescott/plumbing.htm,2026-07-22,platform-city-plumbing-and-rooter-az-flagstaff,,,,
170,,Research-only · not ready to call,Clearco Window & Carpet Cleaning,House Cleaning,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 5 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Clearco%20Window%20%26%20Carpet%20Cleaning%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/house-cleaning.htm,2026-07-22,platform-clearco-window-and-carpet-cleaning-phoenix,,,,
171,,Research-only · not ready to call,"Coles Excavating & Pad Building, LLC",Plumbing,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · rate 86% · 27 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Coles%20Excavating%20%26%20Pad%20Building%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/plumbing.htm,2026-07-22,platform-coles-excavating-and-pad-building-tucson,,,,
172,,Research-only · not ready to call,Cook Remodeling & Custom Construction Inc,General Contractor; Kitchen & Bath Remodeling,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 10 recent quote requests | Angi · 10 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Cook%20Remodeling%20%26%20Custom%20Construction%20Inc%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/kitchen-and-bath-remodeling.htm | https://www.angi.com/companylist/us/az/phoenix/contractor.htm,2026-07-22,platform-cook-remodeling-and-custom-construction-phoenix,,,,
173,,Research-only · not ready to call,Cool Willy's,HVAC,Sierra Vista,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 5 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Cool%20Willy's%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/sierra-vista/hvac.htm,2026-07-22,platform-cool-willy-s-sierra-vista,,,,
174,,Research-only · not ready to call,Cool Willy's Air & Plumbing,HVAC and plumbing,Tucson,AZ,,,Yelp,Confirmed paid,Yelp: Sponsored result (Confirmed paid),,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/search?q=Cool%20Willy's%20Air%20%26%20Plumbing%20Tucson%20AZ,Not audited,,https://www.yelp.com/biz/cool-willys-air-and-plumbing-tucson-2,https://www.yelp.com/search?find_desc=Plumbers&find_loc=Tucson%2C%20AZ,2026-07-21,platform-cool-willy-s-air-and-plumbing-tucson,,,,
175,,Research-only · not ready to call,Corona Heating & Cooling,HVAC,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · 4 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Corona%20Heating%20%26%20Cooling%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/hvac.htm,2026-07-22,platform-corona-heating-and-cooling-tucson,,,,
176,,Research-only · not ready to call,Coronel Pools,Pool & Spa Service,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Coronel%20Pools%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/pool-and-spa-service.htm,2026-07-22,platform-coronel-pools-phoenix,,,,
177,,Research-only · not ready to call,Cummings Termite & Pest Control,Pest Control,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Cummings%20Termite%20%26%20Pest%20Control%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/pest-control.htm,2026-07-22,platform-cummings-termite-and-pest-control-phoenix,,,,
178,,Research-only · not ready to call,D & V Painting and Drywall,Painting,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=D%20%26%20V%20Painting%20and%20Drywall%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/painting.htm,2026-07-22,platform-d-and-v-painting-and-drywall-phoenix,,,,
179,,Research-only · not ready to call,D.N.A's Custom Painting LLC,Painting,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 11 hrs · rate 96% · 2 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=D.N.A's%20Custom%20Painting%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/painting.htm,2026-07-22,platform-d-n-a-s-custom-painting-tucson,,,,
180,,Research-only · not ready to call,DaBella - Flagstaff (Roofing),Roofing,Flagstaff,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 6 recent quote requests | Angi · 6 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=DaBella%20-%20Flagstaff%20(Roofing)%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/flagstaff/roofing.htm | https://www.angi.com/companylist/us/az/prescott/roofing.htm,2026-07-22,platform-dabella-flagstaff-roofing-flagstaff,,,,
181,,Research-only · not ready to call,DaBella - Phoenix (Roofing),Roofing,Flagstaff,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 2 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=DaBella%20-%20Phoenix%20(Roofing)%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/flagstaff/roofing.htm,2026-07-22,platform-dabella-phoenix-roofing-flagstaff,,,,
182,,Research-only · not ready to call,Damian's Electrical,Electrical,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 1 recent quote requests | Angi · 1 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Damian's%20Electrical%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/electrical.htm | https://www.angi.com/companylist/us/az/casa-grande/electrical.htm,2026-07-22,platform-damian-s-electrical-phoenix,,,,
183,,Research-only · not ready to call,Daryl's Green And Trim Landscaping,Landscaping,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 2 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Daryl's%20Green%20And%20Trim%20Landscaping%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/landscaping.htm,2026-07-22,platform-daryl-s-green-and-trim-landscaping-phoenix,,,,
184,,Research-only · not ready to call,Day Star Service Company,Electrical,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 4 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Day%20Star%20Service%20Company%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/electrical.htm,2026-07-22,platform-day-star-service-tucson,,,,
185,,Research-only · not ready to call,DelEstie Cleaning Services,House Cleaning,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 3 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=DelEstie%20Cleaning%20Services%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/house-cleaning.htm,2026-07-22,platform-delestie-cleaning-services-tucson,,,,
186,,Research-only · not ready to call,Denny's Electric,Electrical,Prescott,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Denny's%20Electric%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/prescott/electrical.htm,2026-07-22,platform-denny-s-electric-prescott,,,,
187,,Research-only · not ready to call,Dependable Painting & Roofing,Roofing,Casa Grande,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 1 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Dependable%20Painting%20%26%20Roofing%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/casa-grande/roofing.htm,2026-07-22,platform-dependable-painting-and-roofing-casa-grande,,,,
188,,Research-only · not ready to call,Desert Fine Painting LLC,Painting,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 1 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Desert%20Fine%20Painting%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/painting.htm,2026-07-22,platform-desert-fine-painting-phoenix,,,,
189,,Research-only · not ready to call,Desert Hands Home Service,Electrical; HVAC,Sierra Vista,AZ,,,Angi,Confirmed paid,Angi: New to Angi advertiser badge (Confirmed paid) | Angi: New to Angi advertiser badge (Confirmed paid),,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Desert%20Hands%20Home%20Service%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/sierra-vista/hvac.htm | https://www.angi.com/companylist/us/az/sierra-vista/electrical.htm,2026-07-22,platform-desert-hands-home-service-sierra-vista,,,,
190,,Research-only · not ready to call,"Desert Sky Remodeling, LLC",Kitchen & Bath Remodeling,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 10 hrs · 8 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Desert%20Sky%20Remodeling%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/kitchen-and-bath-remodeling.htm,2026-07-22,platform-desert-sky-remodeling-tucson,,,,
191,,Research-only · not ready to call,Dirt Busters,HVAC,Casa Grande,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 6 hrs · rate 100%,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Dirt%20Busters%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/casa-grande/hvac.htm,2026-07-22,platform-dirt-busters-casa-grande,,,,
192,,Research-only · not ready to call,"Do It Right Plumbing, Inc.",Plumbing,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 4 hrs,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Do%20It%20Right%20Plumbing%2C%20Inc.%20Arizona,Website not yet cross-checked,,https://www.angi.com/companylist/us/az/phoenix/do-it-right-plumbing-inc-reviews-1.htm,https://www.angi.com/companylist/us/az/phoenix/plumbing.htm,2026-07-22,platform-do-it-right-plumbing-phoenix,,,,
193,,Research-only · not ready to call,Done Rite Services,Home services,Tucson,AZ,,,Yelp,Confirmed paid,Yelp: Sponsored result (Confirmed paid),Yelp · response 20 mins,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/search?q=Done%20Rite%20Services%20Tucson%20AZ,Not audited,,https://www.yelp.com/biz/done-rite-services-tucson-3,https://www.yelp.com/search?find_desc=Plumbers&find_loc=Tucson%2C%20AZ,2026-07-21,platform-done-rite-services-tucson,,,,
194,,Research-only · not ready to call,"Donohue Contracting, LLC",Roofing,Casa Grande,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · 34 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Donohue%20Contracting%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/casa-grande/roofing.htm,2026-07-22,platform-donohue-contracting-casa-grande,,,,
195,,Research-only · not ready to call,Drye Plumbing,Plumbing,Prescott,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 2 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Drye%20Plumbing%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/prescott/plumbing.htm,2026-07-22,platform-drye-plumbing-prescott,,,,
196,,Research-only · not ready to call,"Dynamic Comfort LLC, AC and Heating",HVAC,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 10 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Dynamic%20Comfort%20LLC%2C%20AC%20and%20Heating%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/hvac.htm,2026-07-22,platform-dynamic-comfort-ac-and-heating-tucson,,,,
197,,Research-only · not ready to call,Economy Landscape LLC,Landscaping,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 5 hrs · 57 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Economy%20Landscape%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/landscaping.htm,2026-07-22,platform-economy-landscape-tucson,,,,
198,,Research-only · not ready to call,Efficient Moving Solutions LLc,Moving,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 19 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Efficient%20Moving%20Solutions%20LLc%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/moving.htm,2026-07-22,platform-efficient-moving-solutions-phoenix,,,,
199,,Research-only · not ready to call,EH Landscaping,Landscaping,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 7 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=EH%20Landscaping%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/landscaping.htm,2026-07-22,platform-eh-landscaping-phoenix,,,,
200,,Research-only · not ready to call,"Element Plumbing, Heating and Air",Plumbing,Flagstaff,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 20 recent quote requests | Angi · 12 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Element%20Plumbing%2C%20Heating%20and%20Air%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/flagstaff/plumbing.htm | https://www.angi.com/companylist/us/az/prescott/plumbing.htm,2026-07-22,platform-element-plumbing-heating-and-air-flagstaff,,,,
201,,Research-only · not ready to call,Elite Pools and Spas,Pool & Spa Service,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 2 hrs · 34 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Elite%20Pools%20and%20Spas%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/pool-and-spa-service.htm,2026-07-22,platform-elite-pools-and-spas-tucson,,,,
